Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $49,999","Margin of Error; Total: - $40,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $69,999","Margin of Error; Total: - $60,000 to $69,999","Estimate; Total: - $70,000 to $79,999","Margin of Error; Total: - $70,000 to $79,999","Estimate; Total: - $80,000 to $89,999","Margin of Error; Total: - $80,000 to $89,999","Estimate; Total: - $90,000 to $99,999","Margin of Error; Total: - $90,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $174,999","Margin of Error; Total: - $150,000 to $174,999","Estimate; Total: - $175,000 to $199,999","Margin of Error; Total: - $175,000 to $199,999","Estimate; Total: - $200,000 to $249,999","Margin of Error; Total: - $200,000 to $249,999","Estimate; Total: - $250,000 to $299,999","Margin of Error; Total: - $250,000 to $299,999","Estimate; Total: - $300,000 to $399,999","Margin of Error; Total: - $300,000 to $399,999","Estimate; Total: - $400,000 to $499,999","Margin of Error; Total: - $400,000 to $499,999","Estimate; Total: - $500,000 to $749,999","Margin of Error; Total: - $500,000 to $749,999","Estimate; Total: - $750,000 to $999,999","Margin of Error; Total: - $750,000 to $999,999","Estimate; Total: - $1,000,000 or more","Margin of Error; Total: - $1,000,000 or more"
Morningside,52,1013.0,138.960426022,37.0,32.7719392164,21.0,28.7923600978,0.0,20.0,0.0,20.0,0.0,20.0,7.0,20.5182845287,30.0,43.5889894354,0.0,20.0,30.0,26.83281573,59.0,48.4664832642,46.0,31.7647603486,146.0,72.2703258606,55.0,35.4400902933,143.0,60.0915967503,178.0,66.3249575952,89.0,53.5630469633,46.0,52.0480547187,111.0,55.5247692476,0.0,20.0,0.0,20.0,0.0,20.0,15.0,29.5972971739,0.0,20.0,0.0,20.0
Mount Oliver Borough,53,595.0,118.692881,7.0,21.0713075057,0.0,20.0,0.0,20.0,8.0,21.6564078277,26.0,26.0959767014,44.0,32.4499614792,46.0,37.9209704517,168.0,60.7206719331,96.0,53.8980519129,117.0,73.74957627,46.0,30.4302481094,7.0,21.0713075057,8.0,21.6564078277,8.0,21.6564078277,0.0,20.0,7.0,20.5182845287,0.0,20.0,7.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0
Mount Washington,54,1927.0,180.557470076,30.0,32.5115364139,10.0,31.5594676761,8.0,30.7245829914,21.0,38.4187454246,37.0,37.5499667111,41.0,38.1968585095,22.0,31.1608729018,133.0,64.7302093307,305.0,103.696673042,171.0,69.9785681476,214.0,73.7631344236,113.0,57.5152153783,154.0,84.9411561023,113.0,51.7880295049,101.0,48.4355241532,124.0,65.5438784328,88.0,48.8569340013,104.0,63.671029519,9.0,28.7228132327,48.0,38.3927076409,9.0,31.5594676761,45.0,40.074929819,0.0,29.9999999999,27.0,34.0734500748
Mt. Oliver,55,126,36,0,10,0,10,0,10,0,10,13,16,3,5,8,14,27,27,18,14,14,16,15,12,0,10,10,10,8,10,0,10,0,10,0,10,5,8,5,8,0,10,0,10,0,10,0,10,0,10
New Homestead,56,360,37,0,10,13,17,6,10,0,10,0,10,0,10,0,10,12,14,11,12,19,21,27,21,20,16,21,16,84,35,64,31,15,17,6,9,37,22,6,9,15,17,4,7,0,10,0,10,0,10
North Oakland,57,930.0,119.966662036,18.0,30.6757233004,0.0,24.4948974278,3.0,26.3818119165,0.0,24.4948974278,8.0,25.8650343127,0.0,24.4948974278,0.0,24.4948974278,10.0,27.4954541697,27.0,48.4664832642,63.0,46.7011777153,19.0,28.0891438104,33.0,38.2230297072,67.0,41.5331193147,189.0,83.43860018,25.0,30.495901364,92.0,54.4518135603,44.0,37.376463182,116.0,49.4368283773,36.0,37.5499667111,14.0,32.0780298647,102.0,77.0259696466,41.0,40.6448028658,23.0,33.1209903234,0.0,24.4948974278
North Shore,58,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237
Northview Heights,59,4,7,0,10,0,10,0,10,0,10,0,10,4,7,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Oakwood,60,280,61,7,9,0,10,0,10,0,10,5,8,0,10,0,10,0,10,21,15,19,18,30,24,34,20,60,52,56,27,23,29,12,12,7,9,6,9,0,10,0,10,0,10,0,10,0,10,0,10
Overbrook,61,1284.0,113.877126764,5.0,21.1896201004,0.0,22.360679775,0.0,22.360679775,20.0,29.1204395571,5.0,21.1896201004,42.0,39.9374510954,12.0,21.9317121995,83.0,40.6324993078,93.0,35.8747822294,253.0,68.461668107,162.0,66.5206734782,168.0,51.9807656735,197.0,58.2752091374,136.0,50.7346035759,55.0,42.5793377121,23.0,22.825424421,5.0,21.9317121995,13.0,23.0867927612,7.0,22.825424421,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,5.0,21.5406592285
Perry North,62,1136.0,120.900785771,17.0,26.9258240357,5.0,24.1039415864,17.0,35.0570962859,12.0,27.4954541697,10.0,23.6643191324,11.0,25.3771550809,45.0,35.5246393366,77.0,45.1220566907,50.0,30.5614135798,89.0,41.182520564,118.0,42.7317212386,117.0,47.6550102299,58.0,35.0570962859,185.0,58.6515131945,103.0,47.9895822028,69.0,43.9886348958,25.0,33.0000000001,96.0,65.1613382306,17.0,28.0891438104,10.0,25.8650343128,0.0,24.4948974278,0.0,24.4948974278,5.0,24.1039415864,0.0,24.4948974278
Perry South,63,869.0,124.911969003,83.0,57.4282160614,22.0,29.1890390386,18.0,29.2916370318,22.0,26.6270539114,56.0,36.373066959,51.0,38.4447655734,19.0,26.7955220139,74.0,55.3443764082,111.0,66.0,102.0,47.7388730492,95.0,54.6443043692,54.0,33.9116499156,82.0,49.1731634126,4.0,23.7486841741,7.0,25.3771550809,30.0,30.5450486985,0.0,24.4948974278,18.0,25.2784493195,0.0,24.4948974278,21.0,35.0570962859,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278
Point Breeze,64,1586.0,116.743308159,16.0,29.4957624075,0.0,26.4575131106,0.0,26.4575131106,17.0,31.0483493925,0.0,26.4575131106,4.0,25.4754784057,0.0,26.4575131106,15.0,27.8747197295,0.0,26.4575131106,13.0,28.2134719593,32.0,37.2021504755,24.0,30.8220700148,15.0,28.1069386451,74.0,42.2729227757,11.0,25.7681974534,80.0,39.912404087,58.0,35.9722114972,222.0,62.0564259364,272.0,69.3253200498,350.0,78.7908624143,169.0,60.9425959406,152.0,47.8643917751,53.0,35.6651090003,9.0,24.4540385213
Point Breeze North,65,343.0,83.4925146345,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,5.0,16.2480768093,0.0,17.3205080757,26.0,31.3687742827,0.0,17.3205080757,0.0,17.3205080757,8.0,19.2093727123,14.0,27.0,0.0,17.3205080757,34.0,29.6816441593,49.0,36.0832371054,20.0,29.5972971739,47.0,34.3365694268,53.0,34.0734500748,67.0,43.3704968844,20.0,26.1725046566,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757
Polish Hill,66,379.0,83.8629834909,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,13.0,21.4709105536,10.0,14.8660687473,14.0,14.2126704036,12.0,15.6204993518,45.0,24.5153013443,10.0,11.313708499,36.0,21.9317121995,30.0,22.4722050542,0.0,14.1421356237,18.0,14.4222051019,51.0,30.8058436015,40.0,26.9072480941,20.0,15.5563491861,73.0,66.2872536767,7.0,14.8660687473,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237
Regent Square,67,327,41,0,10,0,10,0,10,0,10,4,6,0,10,0,10,0,10,0,10,0,10,3,6,0,10,0,10,16,15,18,20,37,27,16,19,106,37,68,32,45,30,11,13,3,8,0,10,0,10
Ridgemont,68,142,52,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,2,4,2,4,27,21,25,24,45,50,20,30,12,15,0,10,0,10,0,10,0,10,9,15,0,10,0,10,0,10,0,10
Shadyside,69,2030.0,225.794154042,0.0,37.4165738677,11.0,40.2988833593,0.0,37.4165738677,9.0,39.4461658466,11.0,39.4461658466,0.0,37.4165738677,0.0,37.4165738677,0.0,37.4165738677,13.0,41.2310562561,19.0,47.5499737118,14.0,37.9736750922,11.0,39.8622628559,17.0,41.2310562561,191.0,84.3800924389,81.0,58.9067059,51.0,47.759815745,94.0,52.4118307256,317.0,111.789981662,225.0,86.3539228987,327.0,126.980313435,168.0,68.4032162986,309.0,119.314709906,92.0,59.2705660509,70.0,50.8133840637
Sheraden,70,1240.0,148.613592919,6.0,24.1039415864,7.0,24.9198715887,59.0,40.8411557133,74.0,43.1045241245,48.0,41.4608248833,109.0,59.3885510851,55.0,47.3075046901,99.0,45.287967497,185.0,81.5475321516,103.0,57.1139212452,173.0,72.5534285889,72.0,55.3172667438,96.0,59.5063021873,55.0,41.4969878424,46.0,39.4841740448,20.0,30.8706980809,0.0,24.4948974278,6.0,24.1039415864,0.0,24.4948974278,4.0,23.4307490277,23.0,32.4961536185,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278
South Oakland,71,485.0,95.9426912276,0.0,20.0,0.0,20.0,14.0,21.0713075057,0.0,20.0,15.0,24.9799919936,18.0,25.6515106768,0.0,20.0,17.0,23.2379000772,33.0,39.9249295554,22.0,26.3248931622,34.0,31.1769145363,104.0,56.4358042381,18.0,24.3721152139,95.0,47.906158268,49.0,37.8549864614,25.0,27.3495886623,27.0,31.1287648326,10.0,21.0713075057,0.0,20.0,0.0,20.0,0.0,20.0,4.0,19.519221296,0.0,20.0,0.0,20.0
South Shore,72,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
South Side Flats,73,1413.0,209.234318409,40.0,55.6866231693,10.0,27.4954541696,0.0,24.4948974278,0.0,24.4948974278,9.0,26.9258240357,0.0,24.4948974278,26.0,34.0734500748,48.0,66.430414721,0.0,24.4948974278,9.0,25.8650343127,52.0,43.783558558,117.0,87.3956520657,105.0,79.7433382798,65.0,45.8366665455,65.0,46.3249392876,131.0,64.3272881442,95.0,60.415229868,242.0,104.608795042,155.0,99.7095782761,159.0,65.1152823844,52.0,44.5645599103,20.0,31.5594676761,13.0,30.6757233004,0.0,24.4948974278
South Side Slopes,74,1041.0,148.148574073,27.0,31.448370387,27.0,42.1544778167,19.0,27.440845468,35.0,36.7423461417,31.0,32.6955654486,54.0,38.170669368,21.0,29.2916370319,104.0,59.7327380923,98.0,46.9574275275,57.0,36.4691650577,102.0,52.6307894677,81.0,54.8178802946,8.0,27.7308492477,118.0,72.7048829171,55.0,46.1735855225,63.0,40.9023226724,6.0,27.276363394,49.0,54.313902456,11.0,30.3973683072,62.0,46.9148164229,13.0,26.495282599,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106
Spring Garden,75,269.0,63.1268564083,2.0,11.1803398875,7.0,14.8660687473,26.0,24.3515913238,48.0,35.3836120259,12.0,12.8062484749,20.0,18.0277563773,0.0,14.1421356237,24.0,18.3847763109,18.0,27.8567765544,24.0,21.4709105536,4.0,12.2065556157,39.0,30.8058436015,0.0,14.1421356237,19.0,14.2126704036,7.0,15.6204993518,0.0,14.1421356237,6.0,15.6204993518,13.0,13.4536240471,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237
Spring Hill-City View,76,642.0,118.536914082,20.0,27.0,17.0,19.8997487421,29.0,48.1248376621,7.0,17.9164728672,36.0,59.6992462263,0.0,17.3205080757,33.0,27.440845468,78.0,56.8594759033,76.0,53.8887743412,108.0,48.3942145302,92.0,45.639894829,11.0,19.2093727123,55.0,46.021733996,18.0,27.0,30.0,27.1845544381,17.0,21.8403296678,0.0,17.3205080757,15.0,20.9284495365,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757
Squirrel Hill North,77,2065.0,157.178242769,11.0,34.9857113691,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,29.0,52.4309069156,9.0,32.6955654485,0.0,31.6227766016,8.0,32.6955654485,29.0,37.0675059858,41.0,35.8189893771,60.0,46.4004310325,72.0,56.8506816142,192.0,67.6165660176,187.0,71.2671032104,342.0,85.7379729175,336.0,85.5277732669,363.0,91.2140340079,250.0,76.5767588765,136.0,56.0000000001
Squirrel Hill South,78,3069.0,245.104059533,38.0,47.9165942028,0.0,36.0555127546,32.0,50.8035431835,0.0,36.0555127546,11.0,35.4541958024,0.0,36.0555127546,16.0,42.7200187267,0.0,36.0555127546,15.0,41.5812457726,0.0,36.0555127546,24.0,44.1588043315,30.0,42.1544778168,23.0,43.6004587132,220.0,96.8245836553,137.0,81.2773031048,196.0,78.9746794864,184.0,78.255990186,457.0,137.338996647,322.0,115.351636312,593.0,143.763695,257.0,87.1779788709,338.0,108.912809163,149.0,100.084963906,27.0,46.9574275276
St. Clair,79,52,27,0,10,0,10,0,10,0,10,5,7,0,10,31,25,0,10,5,8,11,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Stanton Heights,80,1733.0,139.653141747,12.0,20.8086520467,21.0,31.2409987036,25.0,31.7490157327,0.0,20.0,28.0,33.6005952328,0.0,20.0,0.0,20.0,50.0,38.4967531098,88.0,56.5773806392,165.0,65.7343137182,83.0,40.718546143,136.0,61.9273768216,180.0,78.5047769247,444.0,91.4439719172,210.0,75.5513070701,196.0,60.9343909463,22.0,24.4948974278,61.0,44.598206242,12.0,24.9799919936,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0
Strip District,81,81,45,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,21,34,0,10,0,10,7,11,0,10,0,10,14,16,0,10,25,26,0,10,7,10,7,11,0,10
Summer Hill,82,377,40,0,10,0,10,0,10,5,7,0,10,0,10,0,10,5,7,31,34,25,19,30,19,95,35,45,28,98,37,27,21,10,11,0,10,6,10,0,10,0,10,0,10,0,10,0,10,0,10
Swisshelm Park,83,510,55,9,10,0,10,0,10,0,10,0,10,15,14,0,10,24,20,0,10,40,23,22,16,13,12,22,17,140,46,35,26,65,28,42,33,37,22,22,16,12,9,12,14,0,10,0,10,0,10
Terrace Village,84,38.0,27.4954541697,3.0,15.3622914957,0.0,17.3205080757,0.0,17.3205080757,6.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,14.0,26.1533936613,0.0,17.3205080757,0.0,17.3205080757,7.0,17.9164728672,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,8.0,18.547236991,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757
Troy Hill,85,622.0,114.109596441,16.0,26.0,8.0,15.6204993518,11.0,19.7230829233,8.0,15.6204993518,26.0,24.4131112315,70.0,62.6418390535,42.0,40.2616442784,107.0,64.0780773744,106.0,48.5489443758,53.0,43.6577599059,41.0,29.0,34.0,31.1448230048,5.0,13.4536240471,18.0,22.360679775,0.0,14.1421356237,0.0,14.1421356237,14.0,20.591260282,8.0,16.4012194669,11.0,19.7230829233,13.0,17.2046505341,6.0,14.1421356237,25.0,24.1867732449,0.0,14.1421356237,0.0,14.1421356237
Upper Hill,86,493.0,113.534135836,0.0,17.3205080757,29.0,27.0,26.0,34.0734500748,18.0,30.4795013083,23.0,36.823905279,16.0,27.8567765544,8.0,19.2093727123,55.0,58.1463670404,37.0,30.2324329156,54.0,62.1369455316,13.0,24.4948974278,27.0,30.4795013083,17.0,25.3179778023,31.0,37.7491721764,18.0,28.7228132327,8.0,19.2093727123,10.0,16.7630546142,8.0,19.8997487421,35.0,39.0384425919,53.0,34.8281495345,7.0,19.2093727123,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757
Upper Lawrenceville,87,689.0,133.334166664,0.0,17.3205080757,11.0,24.4948974278,19.0,31.3687742827,51.0,59.0931468108,29.0,26.7020598457,21.0,25.3771550809,89.0,52.5071423713,32.0,27.147743921,79.0,42.5323406363,96.0,56.7538544946,66.0,56.0089278598,70.0,50.2095608425,28.0,24.8797106093,10.0,18.547236991,20.0,25.8650343128,38.0,33.3166624979,7.0,18.547236991,0.0,17.3205080757,9.0,19.8997487421,14.0,27.0,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757
West End,88,39,29,0,10,0,10,0,10,10,16,0,10,0,10,0,10,0,10,9,15,0,10,7,11,0,10,0,10,0,10,0,10,9,13,0,10,0,10,0,10,4,8,0,10,0,10,0,10,0,10
West Oakland,89,173.0,59.2030404625,0.0,14.1421356237,0.0,14.1421356237,5.0,12.8062484749,0.0,14.1421356237,0.0,14.1421356237,16.0,17.88854382,0.0,14.1421356237,25.0,19.6977156036,34.0,30.0,9.0,12.0415945788,50.0,46.5295604965,0.0,14.1421356237,9.0,9.21954445729,12.0,15.6204993518,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,5.0,12.8062484749,3.0,11.6619037897,0.0,14.1421356237,5.0,12.2065556157,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237
Westwood,90,996.0,105.361283212,21.0,23.4307490277,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,17.0,19.1049731745,26.0,25.8069758011,63.0,50.3289181286,52.0,29.6984848098,76.0,37.3630833845,127.0,63.2455532034,109.0,48.4148737476,193.0,63.2850693292,106.0,49.3963561409,76.0,59.908263203,0.0,14.1421356237,116.0,56.8858506133,14.0,15.6204993518,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237
Windgap,91,568.0,93.813645063,25.0,21.4709105536,10.0,17.2046505341,6.0,12.8062484749,0.0,14.1421356237,0.0,14.1421356237,20.0,21.2602916255,8.0,15.6204993518,28.0,36.4005494464,60.0,46.6476151588,76.0,42.4499705536,63.0,40.249223595,51.0,33.2415402772,15.0,19.9248588452,154.0,74.2495791234,9.0,17.2046505341,31.0,25.0,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,12.0,21.4709105536,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237
